,Unnamed: 0,Unnamed: 0.1,est,se
0,0,0,IPS,1.7696950433302198e-05
1,1,1,DR,5.5964024170503945e-05
2,2,2,DM,0.0007812567828177
3,3,3,SNIPS,2.303159388588932e-05
4,4,4,SwitchDR,0.000247529689705
5,5,5,MIPS,9.224143706020757e-06
6,6,6,MIPS (w/ SLOPE),3.161972501410313e-06
7,7,7,Learned MIPS OneHot,4.704527186968813e-07
8,8,8,Learned MIPS FineTune,6.935998710302754e-07
9,9,9,Learned MIPS Combined,5.244761767696316e-07
10,10,10,IPS,2.6491652559636468e-06
11,11,11,DR,0.0003528194653339
12,12,12,DM,0.0016840172915386
13,13,13,SNIPS,2.171130055225785e-06
14,14,14,SwitchDR,0.0006238530090961
15,15,15,MIPS,6.718227484143797e-07
16,16,16,MIPS (w/ SLOPE),3.509052224423432e-07
17,17,17,Learned MIPS OneHot,5.873343348089945e-07
18,18,18,Learned MIPS FineTune,5.018299390662133e-07
19,19,19,Learned MIPS Combined,4.59221217484466e-07
20,20,20,IPS,1.281944783391464e-05
21,21,21,DR,8.547354024279903e-06
22,22,22,DM,9.792302361140956e-05
23,23,23,SNIPS,1.383617845597677e-05
24,24,24,SwitchDR,1.0210617589881764e-05
25,25,25,MIPS,9.774660634349768e-06
26,26,26,MIPS (w/ SLOPE),6.763546280349259e-06
27,27,27,Learned MIPS OneHot,2.5483849278332035e-06
28,28,28,Learned MIPS FineTune,3.547930990367148e-06
29,29,29,Learned MIPS Combined,3.1193484391533523e-06
30,30,30,IPS,1.877684453228904e-05
31,31,31,DR,1.693794985388486e-05
32,32,32,DM,6.470827836500439e-05
33,33,33,SNIPS,1.937954039997936e-05
34,34,34,SwitchDR,2.619650223972351e-05
35,35,35,MIPS,6.434831438054936e-06
36,36,36,MIPS (w/ SLOPE),2.2632256932001925e-06
37,37,37,Learned MIPS OneHot,2.0614321771522225e-07
38,38,38,Learned MIPS FineTune,2.202715910396112e-07
39,39,39,Learned MIPS Combined,2.8252699180957e-07
40,40,40,IPS,9.031381206357588e-06
41,41,41,DR,7.763080243321773e-05
42,42,42,DM,0.0001965045857335
43,43,43,SNIPS,9.49723353400888e-06
44,44,44,SwitchDR,9.624175338882362e-05
45,45,45,MIPS,3.000815295502372e-06
46,46,46,MIPS (w/ SLOPE),1.919771077094382e-07
47,47,47,Learned MIPS OneHot,5.83992317051402e-08
48,48,48,Learned MIPS FineTune,2.3265623331211853e-08
49,49,49,Learned MIPS Combined,2.2776029247556745e-08
50,50,50,IPS,1.2018880086274723e-05
51,51,51,DR,1.4195113594027666e-05
52,52,52,DM,1.533141822619659e-05
53,53,53,SNIPS,1.066993715448262e-05
54,54,54,SwitchDR,9.095704965328651e-06
55,55,55,MIPS,1.506286595965645e-05
56,56,56,MIPS (w/ SLOPE),1.6545801189254824e-05
57,57,57,Learned MIPS OneHot,1.6592903454079892e-05
58,58,58,Learned MIPS FineTune,1.6595832971869387e-05
59,59,59,Learned MIPS Combined,1.6536751898465767e-05
60,60,60,IPS,3.332030563857459e-05
61,61,61,DR,0.0001395507449545
62,62,62,DM,0.0004434530919248
63,63,63,SNIPS,2.736559956552449e-05
64,64,64,SwitchDR,8.517322441158376e-05
65,65,65,MIPS,3.3485594664580824e-05
66,66,66,MIPS (w/ SLOPE),6.458787124402219e-06
67,67,67,Learned MIPS OneHot,6.018608040456699e-06
68,68,68,Learned MIPS FineTune,8.47980402630327e-06
69,69,69,Learned MIPS Combined,7.336550511578455e-06
70,70,70,IPS,0.0001792271469815
71,71,71,DR,6.669152369221912e-05
72,72,72,DM,0.0003897938708668
73,73,73,SNIPS,0.0001838395231563
74,74,74,SwitchDR,9.98473044754524e-08
75,75,75,MIPS,3.35868898900822e-05
76,76,76,MIPS (w/ SLOPE),8.952937131631345e-10
77,77,77,Learned MIPS OneHot,9.998779986862654e-07
78,78,78,Learned MIPS FineTune,9.796453270018195e-07
79,79,79,Learned MIPS Combined,8.603088000760785e-07
80,80,80,IPS,1.6080305712243066e-05
81,81,81,DR,6.856295929103467e-07
82,82,82,DM,0.0003166261767856
83,83,83,SNIPS,1.641613831860752e-05
84,84,84,SwitchDR,7.46264625420165e-05
85,85,85,MIPS,8.942677904771469e-08
86,86,86,MIPS (w/ SLOPE),2.106778874141671e-07
87,87,87,Learned MIPS OneHot,8.82086473429331e-08
88,88,88,Learned MIPS FineTune,3.630903691639111e-08
89,89,89,Learned MIPS Combined,1.6021079218048278e-07
90,90,90,IPS,1.0808482413377952e-05
91,91,91,DR,1.2891807484008926e-06
92,92,92,DM,0.000171799905451
93,93,93,SNIPS,9.94319838235356e-06
94,94,94,SwitchDR,8.026492792218888e-07
95,95,95,MIPS,6.292685818297767e-06
96,96,96,MIPS (w/ SLOPE),5.340597304042409e-06
97,97,97,Learned MIPS OneHot,4.746486289030722e-06
98,98,98,Learned MIPS FineTune,4.576450976478362e-06
99,99,99,Learned MIPS Combined,4.644427355808447e-06
100,100,100,IPS,1.3710537888324377e-05
101,101,101,DR,0.0001119883412363
102,102,102,DM,0.0007646504645344
103,103,103,SNIPS,2.1475380920160588e-05
104,104,104,SwitchDR,0.000121053601751
105,105,105,MIPS,3.011730007371657e-06
106,106,106,MIPS (w/ SLOPE),1.069682112737614e-06
107,107,107,Learned MIPS OneHot,2.3358170432486402e-07
108,108,108,Learned MIPS FineTune,1.473245538550837e-07
109,109,109,Learned MIPS Combined,2.4879587692134016e-07
110,110,110,IPS,2.0579157676377333e-05
111,111,111,DR,7.216549903926445e-05
112,112,112,DM,7.269119417552368e-06
113,113,113,SNIPS,2.075905552302816e-05
114,114,114,SwitchDR,3.52299351628327e-05
115,115,115,MIPS,1.7805873725812674e-05
116,116,116,MIPS (w/ SLOPE),1.3695717039833423e-05
117,117,117,Learned MIPS OneHot,8.126466198306659e-06
118,118,118,Learned MIPS FineTune,9.67863856679922e-06
119,119,119,Learned MIPS Combined,8.271788900084962e-06
120,120,120,IPS,1.0677377387385009e-05
121,121,121,DR,0.0001229165162021
122,122,122,DM,0.0001024848524266
123,123,123,SNIPS,1.1921553485901911e-05
124,124,124,SwitchDR,3.076852560109182e-06
125,125,125,MIPS,5.207630581263262e-06
126,126,126,MIPS (w/ SLOPE),2.812800522122516e-06
127,127,127,Learned MIPS OneHot,2.51592982668296e-06
128,128,128,Learned MIPS FineTune,2.617386956657278e-06
129,129,129,Learned MIPS Combined,2.583384183742822e-06
130,130,130,IPS,2.428149454479931e-05
131,131,131,DR,1.2271435693541266e-09
132,132,132,DM,5.379418083419717e-07
133,133,133,SNIPS,2.425759814209627e-05
134,134,134,SwitchDR,8.208904411821123e-06
135,135,135,MIPS,2.0916033869977868e-05
136,136,136,MIPS (w/ SLOPE),1.8653030942828587e-05
137,137,137,Learned MIPS OneHot,1.632827029984262e-05
138,138,138,Learned MIPS FineTune,1.660542416192346e-05
139,139,139,Learned MIPS Combined,1.642008522035718e-05
140,140,140,IPS,2.4313041588958184e-05
141,141,141,DR,1.7512160129025607e-05
142,142,142,DM,2.830997589400832e-05
143,143,143,SNIPS,2.43239102736628e-05
144,144,144,SwitchDR,3.963645984709792e-05
145,145,145,MIPS,1.105488504238523e-05
146,146,146,MIPS (w/ SLOPE),1.649390117129761e-05
147,147,147,Learned MIPS OneHot,1.530064994089086e-05
148,148,148,Learned MIPS FineTune,1.4420132344340074e-05
149,149,149,Learned MIPS Combined,1.5065537690524228e-05
150,150,150,IPS,2.416453417513652e-07
151,151,151,DR,2.1845087528026166e-06
152,152,152,DM,0.000156030978779
153,153,153,SNIPS,2.5192412573914943e-08
154,154,154,SwitchDR,2.6893983897949657e-05
155,155,155,MIPS,1.6898487398145825e-06
156,156,156,MIPS (w/ SLOPE),5.195771587929405e-06
157,157,157,Learned MIPS OneHot,3.1654592262360547e-06
158,158,158,Learned MIPS FineTune,2.7034179006495234e-06
159,159,159,Learned MIPS Combined,2.710940591846844e-06
160,160,160,IPS,9.249053453144887e-06
161,161,161,DR,1.1084925708487998e-05
162,162,162,DM,0.0004189939954569
163,163,163,SNIPS,8.35642980241578e-06
164,164,164,SwitchDR,2.516938884966734e-05
165,165,165,MIPS,2.0998417020721287e-06
166,166,166,MIPS (w/ SLOPE),2.376050153348865e-06
167,167,167,Learned MIPS OneHot,1.5457738759765975e-06
168,168,168,Learned MIPS FineTune,1.6684187342899804e-06
169,169,169,Learned MIPS Combined,1.5413424094355706e-06
170,170,170,IPS,9.26365709626404e-06
171,171,171,DR,4.724819354470664e-05
172,172,172,DM,1.0926841884213691e-05
173,173,173,SNIPS,9.472474337825693e-06
174,174,174,SwitchDR,0.0001266148017451
175,175,175,MIPS,7.261114372052842e-06
176,176,176,MIPS (w/ SLOPE),4.150887992924182e-06
177,177,177,Learned MIPS OneHot,3.5947805774041254e-06
178,178,178,Learned MIPS FineTune,3.3058900810756145e-06
179,179,179,Learned MIPS Combined,3.7643241718849184e-06
180,180,180,IPS,1.346321686932331e-05
181,181,181,DR,2.815513223311384e-05
182,182,182,DM,2.4354763939627974e-06
183,183,183,SNIPS,1.2246861811438024e-05
184,184,184,SwitchDR,9.404017263198744e-06
185,185,185,MIPS,1.6081816997735104e-05
186,186,186,MIPS (w/ SLOPE),1.880580342240698e-05
187,187,187,Learned MIPS OneHot,1.658192610723035e-05
188,188,188,Learned MIPS FineTune,1.670367817326006e-05
189,189,189,Learned MIPS Combined,1.6676389530120003e-05
190,190,190,IPS,1.9717379951611207e-05
191,191,191,DR,5.00846699597179e-06
192,192,192,DM,3.702698708371604e-05
193,193,193,SNIPS,1.971040394510856e-05
194,194,194,SwitchDR,4.441229381625844e-05
195,195,195,MIPS,1.1807922776728013e-05
196,196,196,MIPS (w/ SLOPE),1.0248310562287862e-05
197,197,197,Learned MIPS OneHot,8.799453627360703e-06
198,198,198,Learned MIPS FineTune,8.717898676556634e-06
199,199,199,Learned MIPS Combined,8.11068084772138e-06
200,200,200,IPS,2.128923269722996e-05
201,201,201,DR,3.592211575982107e-05
202,202,202,DM,8.39038946093328e-06
203,203,203,SNIPS,2.103638765107972e-05
204,204,204,SwitchDR,6.707658174860369e-06
205,205,205,MIPS,7.296492907071856e-06
206,206,206,MIPS (w/ SLOPE),5.540410365048124e-06
207,207,207,Learned MIPS OneHot,4.757473856637955e-06
208,208,208,Learned MIPS FineTune,4.586758791985553e-06
209,209,209,Learned MIPS Combined,4.778968030971587e-06
210,210,210,IPS,1.7149749882756772e-05
211,211,211,DR,2.4044803829262835e-05
212,212,212,DM,5.526666598065293e-06
213,213,213,SNIPS,1.774523860697451e-05
214,214,214,SwitchDR,2.866158736886385e-05
215,215,215,MIPS,1.623211877386553e-05
216,216,216,MIPS (w/ SLOPE),1.24005141569732e-05
217,217,217,Learned MIPS OneHot,7.649431039759506e-06
218,218,218,Learned MIPS FineTune,8.033615149881385e-06
219,219,219,Learned MIPS Combined,8.01135979009905e-06
220,220,220,IPS,1.687916132012835e-05
221,221,221,DR,5.405375275791374e-06
222,222,222,DM,7.88446141158621e-05
223,223,223,SNIPS,1.673383561763137e-05
224,224,224,SwitchDR,3.026608592338625e-05
225,225,225,MIPS,1.138098889295916e-05
226,226,226,MIPS (w/ SLOPE),7.172307612893514e-06
227,227,227,Learned MIPS OneHot,4.034068174321652e-06
228,228,228,Learned MIPS FineTune,3.947958881615555e-06
229,229,229,Learned MIPS Combined,3.946230623155037e-06
230,230,230,IPS,1.3835614974825526e-05
231,231,231,DR,0.0002557139080623
232,232,232,DM,0.000542795316281
233,233,233,SNIPS,1.4757603457330682e-05
234,234,234,SwitchDR,0.0002557139080623
235,235,235,MIPS,1.7019676741038151e-06
236,236,236,MIPS (w/ SLOPE),3.5254403282841185e-07
237,237,237,Learned MIPS OneHot,2.8403965448147226e-06
238,238,238,Learned MIPS FineTune,1.884534130713072e-06
239,239,239,Learned MIPS Combined,2.420181497508464e-06
240,240,240,IPS,1.954723624665798e-05
241,241,241,DR,6.395388877638031e-05
242,242,242,DM,8.275895204289459e-05
243,243,243,SNIPS,1.9397214511537786e-05
244,244,244,SwitchDR,1.5263880820351696e-07
245,245,245,MIPS,9.547250032434288e-06
246,246,246,MIPS (w/ SLOPE),7.8673044832861e-06
247,247,247,Learned MIPS OneHot,9.066927626796414e-06
248,248,248,Learned MIPS FineTune,8.480790319557065e-06
249,249,249,Learned MIPS Combined,9.035123015689156e-06
250,250,250,IPS,1.6247555419275726e-05
251,251,251,DR,3.216976962492903e-05
252,252,252,DM,1.7666171799018255e-06
253,253,253,SNIPS,1.5867907816161846e-05
254,254,254,SwitchDR,6.907558984230991e-05
255,255,255,MIPS,7.73314431904056e-06
256,256,256,MIPS (w/ SLOPE),5.162320871317343e-06
257,257,257,Learned MIPS OneHot,4.437237556486704e-06
258,258,258,Learned MIPS FineTune,4.3976568547264864e-06
259,259,259,Learned MIPS Combined,4.44505023488548e-06
260,260,260,IPS,1.262534600941473e-06
261,261,261,DR,2.4005972721828047e-05
262,262,262,DM,0.0001554744416937
263,263,263,SNIPS,1.7057414008813588e-06
264,264,264,SwitchDR,3.9271444155649785e-06
265,265,265,MIPS,3.5586385466098374e-08
266,266,266,MIPS (w/ SLOPE),5.103388990083234e-08
267,267,267,Learned MIPS OneHot,8.806596662388676e-08
268,268,268,Learned MIPS FineTune,1.289580701723343e-07
269,269,269,Learned MIPS Combined,1.275144180309063e-07
270,270,270,IPS,1.1513980310620687e-05
271,271,271,DR,2.3934093254182555e-05
272,272,272,DM,0.0004626871478842
273,273,273,SNIPS,1.070791784364249e-05
274,274,274,SwitchDR,3.757079557176563e-05
275,275,275,MIPS,3.929192079752425e-06
276,276,276,MIPS (w/ SLOPE),3.5659672424186043e-06
277,277,277,Learned MIPS OneHot,1.5481568222520657e-06
278,278,278,Learned MIPS FineTune,2.0652419557619307e-06
279,279,279,Learned MIPS Combined,1.699760837671102e-06
280,280,280,IPS,1.3194516101496291e-05
281,281,281,DR,3.766524784754487e-06
282,282,282,DM,6.998632872465779e-06
283,283,283,SNIPS,1.2607478341621965e-05
284,284,284,SwitchDR,1.1317762084363262e-08
285,285,285,MIPS,1.0658823120165688e-05
286,286,286,MIPS (w/ SLOPE),4.843449795616955e-06
287,287,287,Learned MIPS OneHot,4.592751315997624e-06
288,288,288,Learned MIPS FineTune,5.08519415103025e-06
289,289,289,Learned MIPS Combined,4.749494105252009e-06
290,290,290,IPS,2.767479618564884e-06
291,291,291,DR,2.5217282868382806e-05
292,292,292,DM,0.0001051331730605
293,293,293,SNIPS,1.166309182744051e-06
294,294,294,SwitchDR,4.176300479227736e-05
295,295,295,MIPS,1.2153530837207069e-06
296,296,296,MIPS (w/ SLOPE),9.197846332680868e-07
297,297,297,Learned MIPS OneHot,3.4980309159936375e-07
298,298,298,Learned MIPS FineTune,1.591769219417895e-07
299,299,299,Learned MIPS Combined,2.9842754710785615e-07
300,300,300,IPS,1.5967497828920767e-06
301,301,301,DR,8.342521800036365e-05
302,302,302,DM,0.0006577874188555
303,303,303,SNIPS,1.8742804113453567e-06
304,304,304,SwitchDR,7.091889137212497e-05
305,305,305,MIPS,3.951572045017075e-07
306,306,306,MIPS (w/ SLOPE),1.8259613074272969e-06
307,307,307,Learned MIPS OneHot,3.83763016959335e-08
308,308,308,Learned MIPS FineTune,3.4538089149485575e-07
309,309,309,Learned MIPS Combined,1.5460242536592816e-07
310,310,310,IPS,2.9021655665789976e-06
311,311,311,DR,0.0001723042250668
312,312,312,DM,0.0003234235837959
313,313,313,SNIPS,2.42817065241574e-06
314,314,314,SwitchDR,0.0001340263637672
315,315,315,MIPS,2.4254536881275577e-06
316,316,316,MIPS (w/ SLOPE),3.4345071203446634e-08
317,317,317,Learned MIPS OneHot,2.5691816180905734e-08
318,318,318,Learned MIPS FineTune,1.294428043989347e-07
319,319,319,Learned MIPS Combined,2.437084557102522e-08
320,320,320,IPS,9.907224289888493e-06
321,321,321,DR,2.0537642020735488e-05
322,322,322,DM,1.2714309035677112e-05
323,323,323,SNIPS,6.686605159478447e-06
324,324,324,SwitchDR,5.1810474267134646e-05
325,325,325,MIPS,2.522973098487174e-06
326,326,326,MIPS (w/ SLOPE),3.1779048569729367e-06
327,327,327,Learned MIPS OneHot,2.9012050265972845e-06
328,328,328,Learned MIPS FineTune,1.931502240750404e-06
329,329,329,Learned MIPS Combined,2.4981980676055773e-06
330,330,330,IPS,1.5786522064416048e-05
331,331,331,DR,3.2964594110177394e-05
332,332,332,DM,1.1389650032953771e-05
333,333,333,SNIPS,1.549259528159632e-05
334,334,334,SwitchDR,3.4985109460030806e-05
335,335,335,MIPS,7.960849749586187e-06
336,336,336,MIPS (w/ SLOPE),4.364289723930593e-06
337,337,337,Learned MIPS OneHot,4.235387631658601e-06
338,338,338,Learned MIPS FineTune,3.868387297958497e-06
339,339,339,Learned MIPS Combined,4.176797852228621e-06
340,340,340,IPS,9.993023272213274e-06
341,341,341,DR,0.0001231956030806
342,342,342,DM,0.0007239508496957
343,343,343,SNIPS,7.736831805728397e-06
344,344,344,SwitchDR,4.741185157348271e-05
345,345,345,MIPS,7.003021455056115e-08
346,346,346,MIPS (w/ SLOPE),6.874965925459118e-08
347,347,347,Learned MIPS OneHot,8.589535589841786e-08
348,348,348,Learned MIPS FineTune,9.73507765016082e-08
349,349,349,Learned MIPS Combined,2.6069625126084524e-08
350,350,350,IPS,1.5901158323130965e-05
351,351,351,DR,1.2198736887733056e-05
352,352,352,DM,0.0001345926907539
353,353,353,SNIPS,1.5067666735538422e-05
354,354,354,SwitchDR,7.976430083666411e-07
355,355,355,MIPS,1.3931795588266747e-05
356,356,356,MIPS (w/ SLOPE),1.2833775154975403e-05
357,357,357,Learned MIPS OneHot,9.900836637828129e-06
358,358,358,Learned MIPS FineTune,9.91886045554249e-06
359,359,359,Learned MIPS Combined,1.018991611456822e-05
360,360,360,IPS,5.666426274338036e-06
361,361,361,DR,2.5557504000421544e-07
362,362,362,DM,1.929198786051152e-06
363,363,363,SNIPS,4.675553159865668e-06
364,364,364,SwitchDR,2.567577271289737e-06
365,365,365,MIPS,1.0348119307917397e-05
366,366,366,MIPS (w/ SLOPE),9.353059715359553e-06
367,367,367,Learned MIPS OneHot,9.672579882835475e-06
368,368,368,Learned MIPS FineTune,9.893590938256892e-06
369,369,369,Learned MIPS Combined,9.47845090156378e-06
370,370,370,IPS,0.0002378619686564
371,371,371,DR,0.0001650915093301
372,372,372,DM,0.0006189916077517
373,373,373,SNIPS,0.0003326617681989
374,374,374,SwitchDR,1.1790147079483971e-06
375,375,375,MIPS,1.4894203966469665e-06
376,376,376,MIPS (w/ SLOPE),4.584232575511506e-06
