,learned-embed-dim,TrainingJobName,TrainingJobStatus,FinalObjectiveValue,TrainingStartTime,TrainingEndTime,TrainingElapsedTimeSeconds
0,4.0,Figure7-learned-embed-dim-100-470ec2f7,Completed,6.2906999588012695,2023-01-24 05:05:10+01:00,2023-01-24 05:36:30+01:00,1880.0
1,5.0,Figure7-learned-embed-dim-099-5e097367,Completed,4.33650016784668,2023-01-24 05:03:39+01:00,2023-01-24 05:34:51+01:00,1872.0
2,8.0,Figure7-learned-embed-dim-098-8e18969c,Completed,2.14520001411438,2023-01-24 05:01:55+01:00,2023-01-24 05:33:10+01:00,1875.0
3,6.0,Figure7-learned-embed-dim-097-b224d221,Completed,2.9065001010894775,2023-01-24 05:01:53+01:00,2023-01-24 05:33:03+01:00,1870.0
4,9.0,Figure7-learned-embed-dim-096-c4a8b3d1,Completed,1.6855000257492065,2023-01-24 04:58:09+01:00,2023-01-24 05:28:28+01:00,1819.0
5,99.0,Figure7-learned-embed-dim-095-c10e5a36,Completed,1.0687999725341797,2023-01-24 04:51:23+01:00,2023-01-24 05:29:04+01:00,2261.0
6,10.0,Figure7-learned-embed-dim-094-68e2ccd4,Completed,1.6053999662399292,2023-01-24 04:51:20+01:00,2023-01-24 05:23:20+01:00,1920.0
7,98.0,Figure7-learned-embed-dim-093-a1da9f02,Completed,1.0255999565124512,2023-01-24 04:48:37+01:00,2023-01-24 05:26:28+01:00,2271.0
8,96.0,Figure7-learned-embed-dim-092-166d997f,Completed,1.0910999774932861,2023-01-24 04:48:06+01:00,2023-01-24 05:25:22+01:00,2236.0
9,97.0,Figure7-learned-embed-dim-091-c4eb11fe,Completed,1.1373000144958496,2023-01-24 04:47:40+01:00,2023-01-24 05:26:22+01:00,2322.0
10,95.0,Figure7-learned-embed-dim-090-96fc3991,Completed,1.0765000581741333,2023-01-24 04:26:18+01:00,2023-01-24 05:04:30+01:00,2292.0
11,94.0,Figure7-learned-embed-dim-089-73436b31,Completed,1.0621000528335571,2023-01-24 04:24:34+01:00,2023-01-24 05:02:37+01:00,2283.0
12,93.0,Figure7-learned-embed-dim-088-63564505,Completed,0.9718000292778015,2023-01-24 04:23:30+01:00,2023-01-24 05:01:33+01:00,2283.0
13,92.0,Figure7-learned-embed-dim-087-9625717c,Completed,0.98089998960495,2023-01-24 04:22:50+01:00,2023-01-24 05:01:31+01:00,2321.0
14,91.0,Figure7-learned-embed-dim-086-ff326c6b,Completed,1.0824999809265137,2023-01-24 04:20:26+01:00,2023-01-24 04:57:27+01:00,2221.0
15,90.0,Figure7-learned-embed-dim-085-54c4d4a3,Completed,0.9987000226974487,2023-01-24 04:13:43+01:00,2023-01-24 04:50:59+01:00,2236.0
16,89.0,Figure7-learned-embed-dim-084-62e5922a,Completed,1.0264999866485596,2023-01-24 04:13:05+01:00,2023-01-24 04:50:47+01:00,2262.0
17,88.0,Figure7-learned-embed-dim-083-28f7dccc,Completed,1.038699984550476,2023-01-24 04:11:03+01:00,2023-01-24 04:47:49+01:00,2206.0
18,87.0,Figure7-learned-embed-dim-082-57c03a9d,Completed,1.0077999830245972,2023-01-24 04:10:40+01:00,2023-01-24 04:48:21+01:00,2261.0
19,86.0,Figure7-learned-embed-dim-081-f780d7e8,Completed,1.0642999410629272,2023-01-24 04:08:54+01:00,2023-01-24 04:46:10+01:00,2236.0
20,73.0,Figure7-learned-embed-dim-080-97a84709,Completed,1.0383000373840332,2023-01-24 03:47:34+01:00,2023-01-24 04:24:10+01:00,2196.0
21,79.0,Figure7-learned-embed-dim-079-a7e980f6,Completed,0.9682000279426575,2023-01-24 03:46:34+01:00,2023-01-24 04:26:00+01:00,2366.0
